[21:42:22] Loaded init checkpoint from runs/il_gpu/il_final.pt
[21:46:57] upd 160/200 | 1.71s | steps=32768 | loss=0.0032 pi=-0.0055 v=0.0005 ent=3.2772 | frontier=on
[21:46:59] upd 161/200 | 1.71s | steps=32768 | loss=0.0079 pi=-0.0012 v=0.0012 ent=3.2849 | frontier=on
[21:47:00] upd 162/200 | 1.71s | steps=32768 | loss=0.0073 pi=-0.0018 v=0.0009 ent=3.3000 | frontier=on
[21:47:02] upd 163/200 | 1.71s | steps=32768 | loss=0.0064 pi=-0.0023 v=0.0009 ent=3.2791 | frontier=on
[21:47:04] upd 164/200 | 1.71s | steps=32768 | loss=0.0053 pi=-0.0033 v=0.0007 ent=3.2696 | frontier=on
[21:47:05] upd 165/200 | 1.71s | steps=32768 | loss=0.0071 pi=-0.0015 v=0.0010 ent=3.2815 | frontier=on
[21:47:07] upd 166/200 | 1.71s | steps=32768 | loss=0.0062 pi=-0.0016 v=0.0010 ent=3.2636 | frontier=on
[21:47:09] upd 167/200 | 1.71s | steps=32768 | loss=0.0055 pi=-0.0028 v=0.0007 ent=3.2759 | frontier=on
[21:47:11] upd 168/200 | 1.71s | steps=32768 | loss=0.0061 pi=-0.0012 v=0.0010 ent=3.2097 | frontier=on
[21:47:12] upd 169/200 | 1.71s | steps=32768 | loss=0.0083 pi=-0.0001 v=0.0012 ent=3.2514 | frontier=on
[21:47:14] upd 170/200 | 1.71s | steps=32768 | loss=0.0095 pi=0.0001 v=0.0011 ent=3.3111 | frontier=on
[21:47:16] upd 171/200 | 1.71s | steps=32768 | loss=0.0067 pi=-0.0009 v=0.0008 ent=3.2505 | frontier=on
[21:47:17] upd 172/200 | 1.71s | steps=32768 | loss=0.0067 pi=-0.0015 v=0.0008 ent=3.2381 | frontier=on
[21:47:19] upd 173/200 | 1.71s | steps=32768 | loss=0.0062 pi=-0.0023 v=0.0006 ent=3.2548 | frontier=on
[21:47:21] upd 174/200 | 1.71s | steps=32768 | loss=0.0072 pi=-0.0014 v=0.0005 ent=3.2899 | frontier=on
[21:47:23] upd 175/200 | 1.71s | steps=32768 | loss=0.0063 pi=-0.0018 v=0.0007 ent=3.2878 | frontier=on
[21:47:24] upd 176/200 | 1.71s | steps=32768 | loss=0.0085 pi=-0.0001 v=0.0011 ent=3.2529 | frontier=on
[21:47:26] upd 177/200 | 1.71s | steps=32768 | loss=0.0071 pi=-0.0007 v=0.0010 ent=3.2440 | frontier=on
[21:47:28] upd 178/200 | 1.73s | steps=32768 | loss=0.0077 pi=-0.0003 v=0.0009 ent=3.2744 | frontier=on
[21:47:29] upd 179/200 | 1.72s | steps=32768 | loss=0.0063 pi=-0.0014 v=0.0007 ent=3.2323 | frontier=on
[21:47:31] upd 180/200 | 1.72s | steps=32768 | loss=0.0067 pi=-0.0014 v=0.0007 ent=3.2556 | frontier=on
[21:47:33] upd 181/200 | 1.71s | steps=32768 | loss=0.0067 pi=-0.0016 v=0.0006 ent=3.2829 | frontier=on
[21:47:35] upd 182/200 | 1.71s | steps=32768 | loss=0.0084 pi=0.0003 v=0.0010 ent=3.2498 | frontier=on
[21:47:36] upd 183/200 | 1.71s | steps=32768 | loss=0.0094 pi=0.0008 v=0.0011 ent=3.2959 | frontier=on
[21:47:38] upd 184/200 | 1.71s | steps=32768 | loss=0.0082 pi=-0.0009 v=0.0009 ent=3.2870 | frontier=on
[21:47:40] upd 185/200 | 1.71s | steps=32768 | loss=0.0060 pi=-0.0018 v=0.0007 ent=3.2555 | frontier=on
[21:47:41] upd 186/200 | 1.71s | steps=32768 | loss=0.0052 pi=-0.0026 v=0.0005 ent=3.2375 | frontier=on
[21:47:43] upd 187/200 | 1.71s | steps=32768 | loss=0.0066 pi=-0.0019 v=0.0006 ent=3.2845 | frontier=on
[21:47:45] upd 188/200 | 1.70s | steps=32768 | loss=0.0080 pi=-0.0011 v=0.0007 ent=3.2999 | frontier=on
[21:47:47] upd 189/200 | 1.71s | steps=32768 | loss=0.0068 pi=-0.0008 v=0.0008 ent=3.2467 | frontier=on
[21:47:48] upd 190/200 | 1.71s | steps=32768 | loss=0.0088 pi=-0.0003 v=0.0009 ent=3.2804 | frontier=on
[21:47:50] upd 191/200 | 1.71s | steps=32768 | loss=0.0086 pi=-0.0003 v=0.0009 ent=3.2861 | frontier=on
[21:47:52] upd 192/200 | 1.73s | steps=32768 | loss=0.0094 pi=0.0002 v=0.0010 ent=3.3047 | frontier=on
[21:47:53] upd 193/200 | 1.71s | steps=32768 | loss=0.0076 pi=-0.0011 v=0.0008 ent=3.2830 | frontier=on
[21:47:55] upd 194/200 | 1.71s | steps=32768 | loss=0.0068 pi=-0.0013 v=0.0007 ent=3.2514 | frontier=on
[21:47:57] upd 195/200 | 1.71s | steps=32768 | loss=0.0056 pi=-0.0025 v=0.0003 ent=3.2846 | frontier=on
[21:47:59] upd 196/200 | 1.71s | steps=32768 | loss=0.0087 pi=0.0005 v=0.0012 ent=3.2511 | frontier=on
[21:48:00] upd 197/200 | 1.70s | steps=32768 | loss=0.0094 pi=0.0003 v=0.0010 ent=3.2825 | frontier=on
[21:48:02] upd 198/200 | 1.71s | steps=32768 | loss=0.0098 pi=0.0011 v=0.0012 ent=3.2653 | frontier=on
[21:48:04] upd 199/200 | 1.71s | steps=32768 | loss=0.0078 pi=-0.0008 v=0.0007 ent=3.2998 | frontier=on
[21:48:05] upd 200/200 | 1.71s | steps=32768 | loss=0.0080 pi=-0.0006 v=0.0008 ent=3.2729 | frontier=on
[21:48:05] Wrote runs/ppo_small_il/train_metrics.csv
[21:48:06] Wrote summary.json: {'checkpoint': 'ckpt_200.pt', 'reveal_only': {'win_rate': 0.0, 'avg_steps': 3.953125, 'avg_progress': 0.0, 'invalid_rate': 0.0}, 'full': {'win_rate': 0.0, 'avg_steps': 144.46875, 'avg_progress': 0.0, 'invalid_rate': 0.0}}
