[22:26:33] upd 118/200 | 0.59s | steps=8192 | loss=0.1142 pi=0.0321 v=0.1578 ent=0.8169 | frontier=on
[22:26:34] upd 119/200 | 0.56s | steps=8192 | loss=0.0562 pi=-0.0355 v=0.1762 ent=0.8076 | frontier=on
[22:26:34] upd 120/200 | 0.55s | steps=8192 | loss=0.0428 pi=-0.0483 v=0.1751 ent=0.7975 | frontier=on
[22:26:35] upd 121/200 | 0.55s | steps=8192 | loss=0.0827 pi=-0.0087 v=0.1762 ent=0.7934 | frontier=on
[22:26:35] upd 122/200 | 0.56s | steps=8192 | loss=0.0726 pi=-0.0199 v=0.1777 ent=0.7985 | frontier=on
[22:26:36] upd 123/200 | 0.56s | steps=8192 | loss=0.0706 pi=-0.0177 v=0.1693 ent=0.7824 | frontier=on
[22:26:36] upd 124/200 | 0.55s | steps=8192 | loss=0.0867 pi=-0.0014 v=0.1685 ent=0.8049 | frontier=on
[22:26:37] upd 125/200 | 0.55s | steps=8192 | loss=0.1092 pi=0.0185 v=0.1736 ent=0.7968 | frontier=on
[22:26:37] upd 126/200 | 0.55s | steps=8192 | loss=0.0928 pi=0.0017 v=0.1752 ent=0.8142 | frontier=on
[22:26:38] upd 127/200 | 0.55s | steps=8192 | loss=0.0626 pi=-0.0323 v=0.1825 ent=0.8123 | frontier=on
[22:26:38] upd 128/200 | 0.54s | steps=8192 | loss=0.1161 pi=0.0329 v=0.1591 ent=0.8060 | frontier=on
[22:26:39] upd 129/200 | 0.55s | steps=8192 | loss=0.0780 pi=-0.0134 v=0.1756 ent=0.8088 | frontier=on
[22:26:40] upd 130/200 | 0.55s | steps=8192 | loss=0.1415 pi=0.0469 v=0.1813 ent=0.7934 | frontier=on
[22:26:40] upd 131/200 | 0.55s | steps=8192 | loss=0.0538 pi=-0.0394 v=0.1792 ent=0.8031 | frontier=on
[22:26:41] upd 132/200 | 0.55s | steps=8192 | loss=0.0781 pi=-0.0163 v=0.1815 ent=0.7939 | frontier=on
[22:26:41] upd 133/200 | 0.54s | steps=8192 | loss=0.0902 pi=-0.0030 v=0.1790 ent=0.7917 | frontier=on
[22:26:42] upd 134/200 | 0.58s | steps=8192 | loss=0.0946 pi=0.0007 v=0.1803 ent=0.8003 | frontier=on
[22:26:42] upd 135/200 | 0.54s | steps=8192 | loss=0.0602 pi=-0.0452 v=0.2040 ent=0.7928 | frontier=on
[22:26:43] upd 136/200 | 0.55s | steps=8192 | loss=0.1550 pi=0.0612 v=0.1806 ent=0.7926 | frontier=on
[22:26:43] upd 137/200 | 0.57s | steps=8192 | loss=0.0832 pi=-0.0093 v=0.1771 ent=0.7977 | frontier=on
[22:26:44] upd 138/200 | 0.54s | steps=8192 | loss=0.0751 pi=-0.0266 v=0.1961 ent=0.7912 | frontier=on
[22:26:45] upd 139/200 | 0.53s | steps=8192 | loss=0.0950 pi=-0.0077 v=0.1980 ent=0.7992 | frontier=on
[22:26:45] upd 140/200 | 0.53s | steps=8192 | loss=0.1139 pi=0.0151 v=0.1901 ent=0.7869 | frontier=on
[22:26:46] upd 141/200 | 0.53s | steps=8192 | loss=0.1174 pi=0.0233 v=0.1810 ent=0.8057 | frontier=on
