[22:09:53] Loaded init checkpoint from runs/il_tiny/il_final.pt
[22:11:01] upd 121/200 | 0.50s | steps=8192 | loss=0.1410 pi=-0.0159 v=0.3033 ent=0.5813 | frontier=on
[22:11:02] upd 122/200 | 0.50s | steps=8192 | loss=0.1476 pi=-0.0080 v=0.3008 ent=0.5865 | frontier=on
[22:11:02] upd 123/200 | 0.51s | steps=8192 | loss=0.1967 pi=0.0359 v=0.3113 ent=0.5830 | frontier=on
[22:11:03] upd 124/200 | 0.50s | steps=8192 | loss=0.1351 pi=-0.0193 v=0.2987 ent=0.5750 | frontier=on
[22:11:03] upd 125/200 | 0.51s | steps=8192 | loss=0.1798 pi=0.0216 v=0.3066 ent=0.5765 | frontier=on
[22:11:04] upd 126/200 | 0.50s | steps=8192 | loss=0.1198 pi=-0.0339 v=0.2974 ent=0.5776 | frontier=on
[22:11:04] upd 127/200 | 0.51s | steps=8192 | loss=0.1437 pi=-0.0127 v=0.3026 ent=0.5876 | frontier=on
[22:11:05] upd 128/200 | 0.51s | steps=8192 | loss=0.1407 pi=-0.0162 v=0.3036 ent=0.5786 | frontier=on
[22:11:05] upd 129/200 | 0.50s | steps=8192 | loss=0.1228 pi=-0.0323 v=0.3002 ent=0.5760 | frontier=on
[22:11:06] upd 130/200 | 0.51s | steps=8192 | loss=0.1908 pi=0.0335 v=0.3040 ent=0.5726 | frontier=on
[22:11:06] upd 131/200 | 0.50s | steps=8192 | loss=0.2064 pi=0.0451 v=0.3126 ent=0.5718 | frontier=on
[22:11:07] upd 132/200 | 0.50s | steps=8192 | loss=0.1311 pi=-0.0260 v=0.3043 ent=0.5762 | frontier=on
[22:11:07] upd 133/200 | 0.51s | steps=8192 | loss=0.1437 pi=-0.0127 v=0.3021 ent=0.5724 | frontier=on
[22:11:08] upd 134/200 | 0.50s | steps=8192 | loss=0.1272 pi=-0.0242 v=0.2929 ent=0.5662 | frontier=on
[22:11:08] upd 135/200 | 0.50s | steps=8192 | loss=0.1261 pi=-0.0251 v=0.2926 ent=0.5726 | frontier=on
[22:11:09] upd 136/200 | 0.51s | steps=8192 | loss=0.1630 pi=0.0055 v=0.3046 ent=0.5553 | frontier=on
[22:11:09] upd 137/200 | 0.50s | steps=8192 | loss=0.1765 pi=0.0195 v=0.3032 ent=0.5600 | frontier=on
[22:11:10] upd 138/200 | 0.50s | steps=8192 | loss=0.1203 pi=-0.0338 v=0.2986 ent=0.5628 | frontier=on
[22:11:10] upd 139/200 | 0.51s | steps=8192 | loss=0.2154 pi=0.0541 v=0.3122 ent=0.5588 | frontier=on
[22:11:11] upd 140/200 | 0.51s | steps=8192 | loss=0.0807 pi=-0.0700 v=0.2913 ent=0.5490 | frontier=on
[22:11:12] upd 141/200 | 0.51s | steps=8192 | loss=0.1563 pi=0.0021 v=0.2980 ent=0.5638 | frontier=on
[22:11:12] upd 142/200 | 0.50s | steps=8192 | loss=0.1558 pi=0.0030 v=0.2955 ent=0.5621 | frontier=on
[22:11:13] upd 143/200 | 0.50s | steps=8192 | loss=0.1395 pi=-0.0130 v=0.2951 ent=0.5669 | frontier=on
[22:11:13] upd 144/200 | 0.50s | steps=8192 | loss=0.1549 pi=-0.0008 v=0.3006 ent=0.5579 | frontier=on
[22:11:14] upd 145/200 | 0.50s | steps=8192 | loss=0.1733 pi=0.0154 v=0.3056 ent=0.5731 | frontier=on
[22:11:14] upd 146/200 | 0.50s | steps=8192 | loss=0.1675 pi=0.0134 v=0.2978 ent=0.5628 | frontier=on
[22:11:15] upd 147/200 | 0.50s | steps=8192 | loss=0.1201 pi=-0.0312 v=0.2924 ent=0.5693 | frontier=on
[22:11:15] upd 148/200 | 0.50s | steps=8192 | loss=0.1194 pi=-0.0316 v=0.2920 ent=0.5586 | frontier=on
[22:11:16] upd 149/200 | 0.50s | steps=8192 | loss=0.1747 pi=0.0203 v=0.2988 ent=0.5634 | frontier=on
[22:11:16] upd 150/200 | 0.50s | steps=8192 | loss=0.1332 pi=-0.0211 v=0.2980 ent=0.5596 | frontier=on
[22:11:17] upd 151/200 | 0.50s | steps=8192 | loss=0.1202 pi=-0.0280 v=0.2864 ent=0.5562 | frontier=on
[22:11:17] upd 152/200 | 0.51s | steps=8192 | loss=0.1948 pi=0.0376 v=0.3044 ent=0.5557 | frontier=on
[22:11:18] upd 153/200 | 0.50s | steps=8192 | loss=0.1029 pi=-0.0453 v=0.2863 ent=0.5614 | frontier=on
[22:11:18] upd 154/200 | 0.51s | steps=8192 | loss=0.1459 pi=-0.0075 v=0.2964 ent=0.5619 | frontier=on
[22:11:19] upd 155/200 | 0.50s | steps=8192 | loss=0.1392 pi=-0.0141 v=0.2965 ent=0.5674 | frontier=on
[22:11:19] upd 156/200 | 0.50s | steps=8192 | loss=0.1459 pi=-0.0034 v=0.2889 ent=0.5552 | frontier=on
[22:11:20] upd 157/200 | 0.50s | steps=8192 | loss=0.2182 pi=0.0610 v=0.3042 ent=0.5640 | frontier=on
[22:11:20] upd 158/200 | 0.50s | steps=8192 | loss=0.0871 pi=-0.0614 v=0.2867 ent=0.5661 | frontier=on
[22:11:21] upd 159/200 | 0.50s | steps=8192 | loss=0.1666 pi=0.0115 v=0.2996 ent=0.5489 | frontier=on
[22:11:21] upd 160/200 | 0.50s | steps=8192 | loss=0.0920 pi=-0.0516 v=0.2773 ent=0.5563 | frontier=on
[22:11:22] upd 161/200 | 0.51s | steps=8192 | loss=0.1979 pi=0.0430 v=0.2991 ent=0.5613 | frontier=on
[22:11:22] upd 162/200 | 0.50s | steps=8192 | loss=0.1617 pi=0.0093 v=0.2949 ent=0.5550 | frontier=on
[22:11:23] upd 163/200 | 0.50s | steps=8192 | loss=0.1456 pi=-0.0037 v=0.2884 ent=0.5620 | frontier=on
[22:11:23] upd 164/200 | 0.50s | steps=8192 | loss=0.1262 pi=-0.0227 v=0.2875 ent=0.5539 | frontier=on
[22:11:24] upd 165/200 | 0.50s | steps=8192 | loss=0.1568 pi=0.0041 v=0.2951 ent=0.5615 | frontier=on
[22:11:24] upd 166/200 | 0.50s | steps=8192 | loss=0.1643 pi=0.0137 v=0.2912 ent=0.5414 | frontier=on
[22:11:25] upd 167/200 | 0.50s | steps=8192 | loss=0.0558 pi=-0.0874 v=0.2765 ent=0.5519 | frontier=on
[22:11:25] upd 168/200 | 0.50s | steps=8192 | loss=0.2388 pi=0.0835 v=0.3004 ent=0.5510 | frontier=on
[22:11:26] upd 169/200 | 0.50s | steps=8192 | loss=0.1580 pi=0.0062 v=0.2937 ent=0.5452 | frontier=on
[22:11:26] upd 170/200 | 0.50s | steps=8192 | loss=0.1409 pi=-0.0110 v=0.2935 ent=0.5466 | frontier=on
[22:11:27] upd 171/200 | 0.51s | steps=8192 | loss=0.0885 pi=-0.0577 v=0.2822 ent=0.5437 | frontier=on
[22:11:27] upd 172/200 | 0.50s | steps=8192 | loss=0.1482 pi=0.0025 v=0.2812 ent=0.5411 | frontier=on
[22:11:28] upd 173/200 | 0.50s | steps=8192 | loss=0.1586 pi=0.0093 v=0.2885 ent=0.5463 | frontier=on
[22:11:28] upd 174/200 | 0.50s | steps=8192 | loss=0.1632 pi=0.0132 v=0.2893 ent=0.5367 | frontier=on
[22:11:29] upd 175/200 | 0.50s | steps=8192 | loss=0.1377 pi=-0.0076 v=0.2798 ent=0.5451 | frontier=on
[22:11:29] upd 176/200 | 0.50s | steps=8192 | loss=0.1388 pi=-0.0114 v=0.2897 ent=0.5406 | frontier=on
[22:11:30] upd 177/200 | 0.50s | steps=8192 | loss=0.1341 pi=-0.0103 v=0.2786 ent=0.5425 | frontier=on
[22:11:30] upd 178/200 | 0.50s | steps=8192 | loss=0.1471 pi=-0.0006 v=0.2849 ent=0.5431 | frontier=on
[22:11:31] upd 179/200 | 0.50s | steps=8192 | loss=0.1672 pi=0.0189 v=0.2864 ent=0.5451 | frontier=on
[22:11:31] upd 180/200 | 0.50s | steps=8192 | loss=0.1192 pi=-0.0284 v=0.2848 ent=0.5505 | frontier=on
[22:11:32] upd 181/200 | 0.50s | steps=8192 | loss=0.1893 pi=0.0367 v=0.2948 ent=0.5543 | frontier=on
[22:11:32] upd 182/200 | 0.50s | steps=8192 | loss=0.1269 pi=-0.0199 v=0.2834 ent=0.5574 | frontier=on
[22:11:33] upd 183/200 | 0.51s | steps=8192 | loss=0.1698 pi=0.0184 v=0.2925 ent=0.5455 | frontier=on
[22:11:33] upd 184/200 | 0.50s | steps=8192 | loss=0.1530 pi=-0.0006 v=0.2965 ent=0.5536 | frontier=on
[22:11:34] upd 185/200 | 0.50s | steps=8192 | loss=0.1537 pi=0.0049 v=0.2873 ent=0.5401 | frontier=on
[22:11:34] upd 186/200 | 0.50s | steps=8192 | loss=0.0996 pi=-0.0447 v=0.2784 ent=0.5515 | frontier=on
[22:11:35] upd 187/200 | 0.50s | steps=8192 | loss=0.1515 pi=0.0020 v=0.2888 ent=0.5523 | frontier=on
[22:11:35] upd 188/200 | 0.50s | steps=8192 | loss=0.1667 pi=0.0170 v=0.2894 ent=0.5465 | frontier=on
[22:11:36] upd 189/200 | 0.50s | steps=8192 | loss=0.1615 pi=0.0103 v=0.2921 ent=0.5514 | frontier=on
[22:11:36] upd 190/200 | 0.52s | steps=8192 | loss=0.1654 pi=0.0151 v=0.2897 ent=0.5416 | frontier=on
[22:11:37] upd 191/200 | 0.50s | steps=8192 | loss=0.1511 pi=0.0008 v=0.2906 ent=0.5455 | frontier=on
[22:11:37] upd 192/200 | 0.50s | steps=8192 | loss=0.1308 pi=-0.0159 v=0.2830 ent=0.5525 | frontier=on
[22:11:38] upd 193/200 | 0.50s | steps=8192 | loss=0.1150 pi=-0.0291 v=0.2780 ent=0.5496 | frontier=on
[22:11:38] upd 194/200 | 0.50s | steps=8192 | loss=0.1004 pi=-0.0444 v=0.2791 ent=0.5345 | frontier=on
[22:11:39] upd 195/200 | 0.50s | steps=8192 | loss=0.0966 pi=-0.0457 v=0.2745 ent=0.5410 | frontier=on
[22:11:39] upd 196/200 | 0.51s | steps=8192 | loss=0.1425 pi=-0.0088 v=0.2918 ent=0.5481 | frontier=on
[22:11:40] upd 197/200 | 0.50s | steps=8192 | loss=0.1516 pi=-0.0006 v=0.2942 ent=0.5402 | frontier=on
[22:11:40] upd 198/200 | 0.51s | steps=8192 | loss=0.1938 pi=0.0371 v=0.3029 ent=0.5431 | frontier=on
[22:11:41] upd 199/200 | 0.52s | steps=8192 | loss=0.1442 pi=-0.0049 v=0.2881 ent=0.5555 | frontier=on
[22:11:41] upd 200/200 | 0.51s | steps=8192 | loss=0.1194 pi=-0.0239 v=0.2766 ent=0.5496 | frontier=on
[22:11:41] Wrote runs/ppo_tiny/train_metrics.csv
[22:11:42] Wrote summary.json: {'checkpoint': 'ckpt_200.pt', 'reveal_only': {'win_rate': 0.71875, 'avg_steps': 8.34375, 'avg_progress': 0.0, 'invalid_rate': 0.0}, 'full': {'win_rate': 0.03125, 'avg_steps': 106.03125, 'avg_progress': 0.0, 'invalid_rate': 0.0}}
